chapter,filename,purpose,source,synthetic_or_real,generated_or_external,license,redistribution_allowed,generation_script,used_in_manuscript,privacy_status,notes
4,data/generated/retail.csv,"Created in Chapter 4; read in chapters [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 17, 28]",Generated by this repository,synthetic,generated,Same as repository code license (see LICENSE),yes,code/ch04/gen_retail.py,yes,No personal data — fully synthetic,"The printed block of Chapter 4 that writes retail.csv. Regenerate with: cd code/ch04 && python gen_retail.py"
14,data/generated/hr.csv,"Created in Chapter 14; read in chapters [14, 16, 19, 20, 28, 29, 42]",Generated by this repository,synthetic,generated,Same as repository code license (see LICENSE),yes,code/ch14/gen_hr.py,yes,No personal data — fully synthetic,"The printed block of Chapter 14 that writes hr.csv. Regenerate with: cd code/ch14 && python gen_hr.py"
22,data/generated/transactions.csv,"Created in Chapter 22 (Step 1); read in chapters [22, 23]",Generated by this repository,synthetic,generated,Same as repository code license (see LICENSE),yes,code/ch22/gen_tx.py,yes,No personal data — fully synthetic,"Regenerate with: cd code/ch22 && python gen_tx.py"
24,data/generated/customers.csv,"Created in Chapter 24 (Step 1); read in chapters [21, 24, 25]",Generated by this repository,synthetic,generated,Same as repository code license (see LICENSE),yes,code/ch24/gen_orders.py,yes,No personal data — fully synthetic,"Regenerate with: cd code/ch24 && python gen_orders.py. Chapter 21 reads this file although it comes before Chapter 24; code/ch21/_lib.py uses the shipped copy."
26,data/generated/segments.csv,"Created in Chapter 26 (Step 1); read in chapters [26, 27]",Generated by this repository,synthetic,generated,Same as repository code license (see LICENSE),yes,code/ch26/gen_seg.py,yes,No personal data — fully synthetic,"Regenerate with: cd code/ch26 && python gen_seg.py"
28,data/generated/daily_revenue.csv,"Created in Chapter 28 (Step 1); read in chapter [28]",Generated by this repository,synthetic,generated,Same as repository code license (see LICENSE),yes,code/ch28/gen_daily.py,yes,No personal data — fully synthetic,"Regenerate with: cd code/ch28 && python gen_daily.py"
27,"sklearn.datasets.load_digits() — not a file","Loaded in memory in chapters [27, 30, 31, 32, 33, 35, 39]","Ships inside scikit-learn. UCI Optical Recognition of Handwritten Digits (Alpaydin & Kaynak), 1797 8x8 images",real,bundled_with_scikit-learn,CC BY 4.0 (UCI donation; redistributed by scikit-learn under its BSD-3 licence),not_redistributed_here,none — call load_digits(),yes,"De-identified public research dataset. No personal data.","NOT generated by this repository. It is a real dataset, already present inside scikit-learn, so no download and no account is needed. It is the backbone of Part VI."
16,"sklearn.datasets.load_breast_cancer() — not a file","Loaded in memory in chapter [16]","Ships inside scikit-learn. UCI Breast Cancer Wisconsin (Diagnostic), 569 rows, 30 features",real,bundled_with_scikit-learn,CC BY 4.0 (UCI donation; redistributed by scikit-learn under its BSD-3 licence),not_redistributed_here,none — call load_breast_cancer(),yes,"De-identified public research dataset. No personal data.","NOT generated by this repository. Used in Chapter 16 to demonstrate leakage on a dataset the reader did not build."
38,"code/ch38/policy.md","Created in Chapter 38 (Step 1); read in chapter [38]",Generated by this repository,synthetic,generated_in_working_directory,Same as repository code license (see LICENSE),yes,code/ch38/gen_docs.py,yes,No personal data — fully synthetic,"A short refunds-and-shipping policy document, the corpus the chapter retrieves over. Written where the book writes it rather than shipped, so the reader sees it created. code/ch38/_lib.py regenerates it if the block was skipped. Regenerate with: cd code/ch38 && python gen_docs.py"
38,"code/ch38/tickets.txt","Created in Chapter 38 (Step 5); read in chapter [38]",Generated by this repository,synthetic,generated_in_working_directory,Same as repository code license (see LICENSE),yes,code/ch38/gen_tickets.py,yes,No personal data — fully synthetic,"Past support conversations, the paired-phrasing corpus the chapter trains its encoder on. Written where the book writes it rather than shipped. code/ch38/_lib.py regenerates it if the block was skipped. Regenerate with: cd code/ch38 && python gen_tickets.py"
