id,topic,first_chapter,chapters,level,type,question,status,last_practised,confidence,notes
Q1,python-pandas-data,3,3,beginner,conceptual,Why must a function return rather than print?,,,,
Q2,python-pandas-data,4,4,intermediate,conceptual,"What does validate=""m:1"" do on a merge, and why use it?",,,,
Q3,python-pandas-data,4,4,beginner,conceptual,Explain .loc versus .iloc.,,,,
Q4,python-pandas-data,4,4,intermediate,conceptual,What is the SettingWithCopyWarning telling you?,,,,
Q5,python-pandas-data,4,4,beginner,conceptual,Why do you write & and | instead of and and or when filtering?,,,,
Q6,python-pandas-data,4,4 11,beginner,scenario,How would you check a file before analysing it?,,,,
Q7,python-pandas-data,4,4 1 5 11,beginner,conceptual,"What is the grain of a table, and why does it matter?",,,,
Q8,python-pandas-data,4,4,intermediate,conceptual,"How do you turn a long table into a cross-tab, and what is the trap?",,,,
Q9,sql,5,5,beginner,conceptual,"Explain the difference between INNER, LEFT, and FULL OUTER JOIN.",,,,
Q10,sql,5,5,beginner,conceptual,"What is a window function, and when would you use one instead of GROUP BY?",,,,
Q11,sql,5,5,intermediate,coding,Write a query to find the second highest salary in a table.,,,,
Q12,sql,5,5,intermediate,coding,How would you find and remove duplicate rows?,,,,
Q13,sql,5,5,advanced,scenario,A query that ran in two seconds now takes four minutes. How do you diagnose it?,,,,
Q14,sql,5,5,beginner,conceptual,WHERE or HAVING — how do you decide?,,,,
Q15,sql,5,5,beginner,conceptual,Why can you not filter on a column alias in WHERE?,,,,
Q16,sql,5,5,beginner,conceptual,Why does WHERE x = NULL return nothing?,,,,
Q17,sql,5,5,beginner,conceptual,What is a CTE and when would you use one?,,,,
Q18,sql,5,5,intermediate,coding,How would you compute month-over-month growth?,,,,
Q19,maths-statistics,9,9 4,intermediate,conceptual,Explain broadcasting in NumPy.,,,,
Q20,maths-statistics,9,9,beginner,conceptual,"What is a dot product, geometrically?",,,,
Q21,maths-statistics,9,9,intermediate,conceptual,What is the computational complexity of multiplying two n by n matrices?,,,,
Q22,maths-statistics,9,9 13,intermediate,conceptual,Why should you avoid explicitly inverting a matrix in code?,,,,
Q23,maths-statistics,10,10,beginner,conceptual,"What is a gradient, and why do we move against it?",,,,
Q24,maths-statistics,10,10 30,beginner,conceptual,State the chain rule and explain its role in neural networks.,,,,
Q25,maths-statistics,10,10 30,intermediate,conceptual,How would you check whether your gradient implementation is correct?,,,,
Q26,maths-statistics,10,10 18,intermediate,conceptual,"What is the difference between a local minimum and a saddle point, and which matters more in deep learning?",,,,
Q27,maths-statistics,7,7,beginner,conceptual,Explain Bayes’ theorem and give a concrete example.,,,,
Q28,maths-statistics,8,8,beginner,conceptual,What does a p-value actually mean?,,,,
Q29,maths-statistics,7,7 14,advanced,conceptual,"What is maximum likelihood estimation, and how does it relate to loss functions?",,,,
Q30,maths-statistics,7,7,intermediate,conceptual,Likelihood and probability sound interchangeable. What separates them?,,,,
Q31,maths-statistics,8,8,beginner,conceptual,What does a 95% confidence interval mean?,,,,
Q32,maths-statistics,8,8,intermediate,scenario,A test returns p = 0.12. Your manager concludes the two options are identical. Respond.,,,,
Q33,maths-statistics,6,6,beginner,conceptual,"When does the mean mislead, and what do you report instead?",,,,
Q34,maths-statistics,7,7 14 22,intermediate,scenario,A test is 95% accurate for a condition affecting 1 in 500. Someone tests positive. What is the chance they have it?,,,,
Q35,maths-statistics,7,7 8,intermediate,conceptual,Why is the central limit theorem the reason inference works?,,,,
Q36,maths-statistics,15,15 13,intermediate,conceptual,"What is the difference between correlation and causation, in practice?",,,,
Q37,maths-statistics,8,8,intermediate,scenario,You test 15 segments and two come back significant. What do you conclude?,,,,
Q38,maths-statistics,15,15,intermediate,conceptual,How do you determine the sample size for an A/B test?,,,,
Q39,maths-statistics,15,15,intermediate,conceptual,Why is checking test results daily a problem?,,,,
Q40,ml-fundamentals,1,1,beginner,conceptual,When would you choose not to use machine learning?,,,,
Q41,ml-fundamentals,1,1 37,beginner,conceptual,"Explain the difference between supervised, unsupervised, and reinforcement learning.",,,,
Q42,ml-fundamentals,1,1 15,beginner,conceptual,What is a baseline model and why does it matter?,,,,
Q43,ml-fundamentals,16,16,beginner,conceptual,What does it mean for a model to generalize?,,,,
Q44,ml-fundamentals,16,16 11 24,intermediate,conceptual,Give three concrete examples of data leakage.,,,,
Q45,ml-fundamentals,16,16,beginner,conceptual,Why cross-validate instead of using a single train-test split?,,,,
Q46,ml-fundamentals,16,16 28,intermediate,conceptual,"How do you split time-series data, and why is random k-fold invalid?",,,,
Q47,ml-fundamentals,16,16 25,beginner,conceptual,Why keep a validation set and a test set rather than one holdout?,,,,
Q48,ml-fundamentals,17,17,intermediate,conceptual,Explain the bias-variance tradeoff.,,,,
Q49,ml-fundamentals,17,17,intermediate,conceptual,What is the difference between L1 and L2 regularization?,,,,
Q50,ml-fundamentals,17,17 16,beginner,conceptual,Name five ways to combat overfitting.,,,,
Q51,ml-fundamentals,16,16 17,beginner,scenario,Your model has 99% training accuracy and 71% validation accuracy. What do you do?,,,,
Q52,classical-algorithms,13,13 10 9,advanced,conceptual,Derive the closed-form solution for ordinary least squares.,,,,
Q53,classical-algorithms,13,13 18,intermediate,conceptual,When would you prefer gradient descent over the normal equation?,,,,
Q54,classical-algorithms,13,13,intermediate,conceptual,What are the assumptions of linear regression?,,,,
Q55,classical-algorithms,13,13 17,intermediate,scenario,Two of your features are highly correlated. What happens and what do you do?,,,,
Q56,classical-algorithms,14,14 30,intermediate,conceptual,Why use cross-entropy rather than mean squared error for classification?,,,,
Q57,classical-algorithms,14,14,advanced,conceptual,Derive the gradient of the logistic loss.,,,,
Q58,classical-algorithms,14,14,intermediate,conceptual,Is the decision boundary of logistic regression linear?,,,,
Q59,classical-algorithms,14,14,beginner,conceptual,How do you interpret a logistic regression coefficient?,,,,
Q60,classical-algorithms,19,19,intermediate,conceptual,Entropy or Gini: does the choice of impurity measure change the tree?,,,,
Q61,classical-algorithms,19,19,beginner,conceptual,How does a decision tree choose a split?,,,,
Q62,classical-algorithms,19,19 20,beginner,conceptual,How do you stop a decision tree from overfitting?,,,,
Q63,classical-algorithms,19,19,intermediate,conceptual,When do decision trees perform poorly?,,,,
Q64,classical-algorithms,20,20,beginner,conceptual,What is the difference between a random forest and gradient boosting?,,,,
Q65,classical-algorithms,20,20,advanced,conceptual,Why does bagging reduce variance?,,,,
Q66,classical-algorithms,20,20 25,intermediate,conceptual,What does the learning rate do in gradient boosting?,,,,
Q67,classical-algorithms,20,20,intermediate,conceptual,Why is a random forest relatively insensitive to the number of trees?,,,,
Q68,classical-algorithms,21,21,advanced,conceptual,Explain the kernel trick.,,,,
Q69,classical-algorithms,21,21,intermediate,conceptual,Why do support vector machines maximize the margin?,,,,
Q70,classical-algorithms,21,21 38,intermediate,conceptual,What is the computational cost of kNN at prediction time?,,,,
Q71,classical-algorithms,21,21,beginner,conceptual,How do you choose k in k-nearest neighbors?,,,,
Q72,classical-algorithms,28,28 19 20,intermediate,scenario,Why do tree models struggle on a trending time series?,,,,
Q73,optimization-training,18,18,advanced,conceptual,Write out the Adam update equations.,,,,
Q74,optimization-training,18,18,beginner,conceptual,"Compare batch, stochastic, and mini-batch gradient descent.",,,,
Q75,optimization-training,18,18,intermediate,conceptual,"What does momentum do, and why does it help?",,,,
Q76,optimization-training,18,18 31,intermediate,scenario,Your training loss becomes not-a-number after a few steps. What do you check?,,,,
Q77,optimization-training,30,30,intermediate,conceptual,Explain backpropagation.,,,,
Q78,optimization-training,30,30,beginner,conceptual,Why do neural networks need nonlinear activation functions?,,,,
Q79,optimization-training,31,31 33,intermediate,conceptual,What is the vanishing gradient problem?,,,,
Q80,optimization-training,30,30 10,intermediate,conceptual,"Your gradient check agrees to five decimal places, but the network still does not learn. What did the check prove, and what did it not?",,,,
Q81,optimization-training,31,31,advanced,conceptual,"What does batch normalization do, and how does it behave at inference?",,,,
Q82,optimization-training,17,17,intermediate,conceptual,Why does dropout behave differently at training and test time?,,,,
Q83,optimization-training,31,31,intermediate,conceptual,What is the dying ReLU problem and how is it addressed?,,,,
Q84,optimization-training,31,31,advanced,scenario,"Your deep network’s loss does not move at all. What do you check, in order?",,,,
Q85,features-model-selection,24,24 16,intermediate,conceptual,How do you prevent data leakage during preprocessing?,,,,
Q86,features-model-selection,24,24 11,intermediate,conceptual,When would you use target encoding instead of one-hot?,,,,
Q87,features-model-selection,11,11 24,beginner,conceptual,How do you handle missing values?,,,,
